graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,20,26,Fixed,9.736509606484523,1.0913752422753353,0.8947368421052632,0.0571965945389217,3.0022209642711646,6,0.5646010186757215,25,2.295747332991264
Grid,20,26,Uniform,7.540086644935319,0.7331311650782831,1.0,0.42065698151774267,3.3678618071761264,11,0.4563660477453575,30,1.7778582372172407
Grid,20,27,Fixed,6.313818392948567,1.0566828196856033,0.8868421052631579,0.05931686380725298,2.7546592516017956,1,0.6388135593220339,20,1.4987790349960746
Grid,20,27,Uniform,8.368593142040071,0.71224021911739,1.0,0.4656315018594682,3.435413278783768,13,0.45395480225988694,32,1.9865430351480429
Grid,20,28,Fixed,9.830364428459617,0.9805375329805116,0.9157894736842105,0.08298742631740905,3.0036458456321466,6,0.6307933194154491,25,2.278432384899242
Grid,20,28,Uniform,8.632383171799514,0.6892956607353821,1.0,0.48546744656243124,3.461399200015587,14,0.44624277456647365,33,2.0007703194142112
Grid,20,29,Fixed,8.964590091774891,1.2919080336989222,0.9289473684210524,0.09574290964277715,2.952088393239317,4,0.5221014492753624,23,2.0773169048845888
Grid,20,29,Uniform,7.618831616617696,0.6989774597805257,1.0,0.42629408814692693,3.415238502236802,12,0.3674033149171272,31,1.7654714326749097
Grid,50,0,Fixed,12.832686661802644,1.5297380383606547,0.9383673469387754,0.02602471516494844,3.6056518666274058,4,0.6445720613826926,53,2.075737428006654
Grid,50,0,Uniform,9.378856716223089,0.7234219853731458,1.0,0.10581153727616993,4.1648355569478,17,0.3781290704558913,66,1.5170668801353802
Grid,50,1,Fixed,13.44785966853341,1.3705691395290094,0.94,0.023984039955367263,3.5601698261546764,5,0.614854672827545,54,2.2471769280910037
Grid,50,1,Uniform,10.07668531931455,0.711348375997135,0.9959183673469388,0.0915234839391631,4.224296021029888,22,0.3326403730328342,71,1.6838437728631128
Grid,50,2,Fixed,13.882922777963604,1.5017099469223536,0.9383673469387754,0.024119089697142874,3.603329155234003,5,0.6186169078446309,54,2.2742735297286907
Grid,50,2,Uniform,9.705092457977058,0.7146965413047262,0.9946938775510205,0.07210129698756251,4.164576052372901,18,0.4496000000000002,67,1.5898694557158939
Grid,50,3,Fixed,11.93482252947647,1.4469513177001039,0.9318367346938775,0.0190376822550247,3.5667133600109624,3,0.6388621633299727,52,1.962339626188747
Grid,50,3,Uniform,9.555999684240858,0.7494420040462176,0.9946938775510205,0.0624587089272767,4.187767710497579,19,0.4003284605666848,68,1.5712103637837305
Grid,50,4,Fixed,13.388624498745099,1.4150382278211704,0.937142857142857,0.02995028379690047,3.6048879280578756,5,0.5750163934426231,54,2.2304517367580057
Grid,50,4,Uniform,9.226573001969069,0.6799037873933068,0.9979591836734695,0.10286095662167156,4.2166514357217775,20,0.35470343185875786,69,1.5370829003752644
Grid,50,5,Fixed,12.743498667383193,1.4289506128560707,0.9244897959183674,0.016097503636730702,3.5793507949639736,4,0.6158622597151153,53,2.0983582081404033
Grid,50,5,Uniform,10.623048575625731,0.6670438315847657,0.999591836734694,0.15397633681890438,4.259489720365946,25,0.3903538331929235,74,1.7492026135014143
Grid,50,6,Fixed,14.54496515003592,1.416552005670216,0.9395918367346939,0.023756010318576458,3.6163593433632664,5,0.634120634920635,54,2.3730473765834597
Grid,50,6,Uniform,9.843396221370622,0.7051125328370682,0.9987755102040816,0.1226249217300087,4.199154415568332,20,0.40146514375738485,69,1.6059746681302571
Grid,50,7,Fixed,10.165754104817971,1.6254774033288482,0.9297959183673471,0.021640433065907027,3.6096718947942534,2,0.6033552366903576,51,1.6807297669105175
Grid,50,7,Uniform,9.165141462481168,0.7854202246892588,0.9951020408163265,0.06758413924311311,4.146062660593346,16,0.34666902404526145,65,1.5152959549392642
Grid,50,8,Fixed,12.534674989111892,1.7425764265689718,0.8930612244897957,0.010045022990039112,3.564941607950035,4,0.5430178217821782,53,2.0142595388073037
Grid,50,8,Uniform,10.563061991780014,0.6946840665424602,0.999591836734694,0.14019017424531102,4.253119072871877,24,0.36804208788941617,73,1.6974311974133818
Grid,50,9,Fixed,13.687866354437066,1.5772489620045227,0.9257142857142859,0.016766698643542948,3.6091736849609237,5,0.6567913549459687,54,2.1949327976192308
Grid,50,9,Uniform,10.494271745106047,0.6733934842757306,0.9991836734693877,0.1362243960963295,4.260300096845696,24,0.3513634444913467,73,1.6828204370212365
Grid,50,10,Fixed,12.939975681588884,1.4454081918681823,0.923265306122449,0.013242315338036027,3.637114435519337,6,0.602102676839519,55,2.113132505071801
Grid,50,10,Uniform,9.442931247126596,0.7307231344148013,1.0,0.10170683813538926,4.2013135395544845,19,0.2940572703607287,68,1.542055831669945
Grid,50,11,Fixed,13.37092798905466,1.6605095116680466,0.942857142857143,0.027518103969120373,3.5857931223576025,4,0.6293722429589415,53,2.2107026827403162
Grid,50,11,Uniform,10.133761638983406,0.700030737512729,0.999591836734694,0.12333832280962986,4.201256717153719,21,0.3452538275584205,70,1.6754808686345652
Grid,50,12,Fixed,11.412693229547022,1.4541726705331173,0.9146938775510204,0.014547467205615998,3.5697012599149205,3,0.6207393436439079,52,1.8516816287121536
Grid,50,12,Uniform,10.234897062974081,0.6897346609526815,0.9991836734693877,0.13530507622406693,4.2691555702271895,24,0.3693894389438941,73,1.660587074591971
Grid,50,13,Fixed,12.868762860020972,1.709160230798943,0.9061224489795918,0.011023838183751447,3.573740957276783,4,0.5813709947527075,53,2.0765753826616034
Grid,50,13,Uniform,10.162812636617863,0.6733863370850443,0.9991836734693877,0.1409621996916825,4.254983200415381,23,0.3687914438502671,72,1.6399281554379754
Grid,50,14,Fixed,11.484396317611717,1.4020120062875598,0.9277551020408165,0.017939569086827787,3.56181331241552,3,0.6063988054839147,52,1.8862296120435436
Grid,50,14,Uniform,9.778026827488418,0.7177750236848601,0.9971428571428572,0.08163649723438901,4.205434722671582,20,0.4532359081419626,69,1.6059706787618377
Grid,50,15,Fixed,13.743718918035702,1.4348839352398013,0.909795918367347,0.012556600825028257,3.564118214191087,5,0.5973080848168726,54,2.2277755280748894
