n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
50,5,Fixed,11.475406450833521,1.3370907324151704,0.9159183673469389,0.014542750567450585,3.388047898318507,4,0.6093233458177281,53,2.325809341190122
50,5,Uniform,8.365263702221972,0.6766724564086706,0.9983673469387756,0.08410493225297662,4.058766473617191,18,0.37632752613240394,67,1.695452665969259
50,5,HubSpoke,6.250914608986585,0.9208256900610761,0.923265306122449,0.016491689411598277,3.718467050453559,0,0.6400603400987377,49,1.26692118931498
50,6,Fixed,11.994099662087509,1.236644098804313,0.9040816326530612,0.011784207369579419,3.4666173611367994,6,0.5291415994130595,55,2.458082920076721
50,6,Uniform,8.874972888589976,0.6344920756853694,0.999591836734694,0.11730085426396937,4.073728449126985,21,0.4371686068343976,70,1.8188459232620822
50,6,HubSpoke,5.894966229821008,0.8143393507067715,0.9285714285714285,0.022601294649845317,3.7299862801685615,2,0.5587343183718985,51,1.2081203435181496
50,7,Fixed,10.178924870618225,1.2221994208894622,0.9391836734693878,0.03159242878076559,3.3373444339140286,3,0.6213857971468877,52,2.13556320594554
50,7,Uniform,8.328991198381383,0.6421406987325706,0.9967346938775511,0.0800735548464978,3.980269401545266,17,0.42861106107007707,66,1.747442620118997
50,7,HubSpoke,6.0498724355587,0.8887045917673884,0.9314285714285715,0.02402830537138845,3.7080401536734438,3,0.5320022185246809,52,1.2692779579636086
50,8,Fixed,9.917213838927141,1.406243179251457,0.9081632653061225,0.014822651103553968,3.375689089375653,4,0.5517969451931719,53,2.2241534053425194
50,8,Uniform,8.089998061787895,0.6480114217950812,0.9955102040816327,0.08055029619106281,4.01396023937635,18,0.4096776491540517,67,1.8143600642866125
50,8,HubSpoke,5.8007890636146415,0.7763219443844325,0.9416326530612246,0.03577153625565119,3.6994430789554067,2,0.5866920877025739,51,1.3009545784794625
50,9,Fixed,9.840017682850652,1.3630498642109785,0.9159183673469387,0.013376664396341144,3.365852330497108,2,0.6267493043258283,51,1.9048313752602315
50,9,Uniform,9.017724451655663,0.6824058633376555,0.9918367346938776,0.06975293778649373,4.115756198122791,21,0.41080014614541494,70,1.7456517887058134
50,9,HubSpoke,6.43004552863226,0.8073537498923007,0.9608163265306122,0.03573600748162456,3.7681561702442012,3,0.5498147873759076,52,1.244728704973445
50,10,Fixed,11.644170871130727,1.3259369592347043,0.9257142857142857,0.020848470348537717,3.421564316184384,5,0.5622693920335429,54,2.4656541113595187
