n,k,ep_return,rl_cost,rl_steiner_ratio,rl_algebraic_connectivity,rl_robustness,rl_efficiency,rl_n,rl_k,std_cost,std_efficiency,std_robustness,std_algebraic_connectivity,std_network_entropy,std_cyclomatic_number,std_betweenness_gini,std_num_edges,std_steiner_ratio
20,1,0.8028148144730748,55.263017105330135,16.198332840507405,3.770051260550546,1.0,0.6904597253202203,20,1,8.57930169531585,1.1689841242030963,0.9026315789473685,0.06263484020989578,2.798215384461718,4,0.5130434782608693,23,2.514708600418631
20,3,0.7062577276260031,84.59065579695414,27.644514736395248,10.963990846876843,1.0,0.4914093845202693,20,3,4.745400623766203,0.7519035437749335,0.8736842105263157,0.054296579910699055,2.918192396200272,4,0.6002332814930016,23,1.5508131038573598
20,5,0.9694677590276691,90.24301049539818,28.179189641672455,12.510711428189975,1.0,0.5365942086575741,20,5,6.473011873349043,0.7521277408292671,0.944736842105263,0.08598539487444995,3.0802323226667565,7,0.5571428571428569,26,2.0212560300301776
20,1,0.7037616613681834,70.9369378397477,28.48988402323368,7.000000000000011,1.0,0.5666949203273386,20,1,9.500709165047155,0.901062545506398,0.9263157894736842,0.0803418475583802,2.8207284843924443,7,0.6049429657794676,26,3.8157004022663275
50,5,1.092731274927176,252.18366285145206,51.17876519541402,4.922763243574381,1.0,0.5987823270290542,50,5,16.391701071400526,0.7802455554992641,0.9730612244897959,0.03919301311136111,4.14041680180999,29,0.6956226788809112,78,3.326571637516342
20,2,0.9062326547872088,86.597131710282,29.23469965067264,6.932583490908832,1.0,0.5990745308025313,20,2,3.8542442653615003,1.1508054895709336,0.8315789473684209,0.03884465788817315,2.762323313745906,1,0.42293577981651387,20,1.3011709655135406
50,1,0.5032051145442845,162.534303355358,35.356838294534974,4.000000000000075,1.0,0.8168810083339627,50,1,9.49051097157318,1.3190876825343703,0.9032653061224489,0.011417944485862811,3.4537284540934765,2,0.6373513885701172,51,2.0645147198298264
20,2,1.1886135125005444,51.841894732568015,16.73682147216407,4.000000000000008,1.0,0.5281700980381793,20,2,5.7546144892385325,0.725786113954886,0.9368421052631579,0.10832840767319069,3.0077454144115188,5,0.5048780487804876,24,1.8578401859029234
50,1,0.9338587677460582,138.57065513805395,27.44241689927192,2.0000000000001568,1.0,0.9696413571988524,50,1,8.318342388771244,1.4909633155874813,0.9187755102040817,0.017143095066410836,3.4930358069025815,1,0.613918098436895,50,1.6473575845919306
20,3,0.9581160687071858,80.69431936754393,32.15735828748842,11.782117768375286,1.0,0.49155675376736313,20,3,7.724561108105472,0.6592256769807815,0.9315789473684211,0.11361635862472089,3.2770400493858043,12,0.5788747346072187,31,3.078301931459823
20,5,1.2759726289484594,90.53697815220477,29.447358828454586,11.00000000000001,1.0,0.5100138410014056,20,5,5.774542974214356,0.6715729960981999,0.9605263157894735,0.15681486611702372,2.988764031586257,6,0.6497481108312342,25,1.8781832849131883
20,5,1.0298344529767478,100.62029059968648,28.98298885474613,20.0,1.0,0.5295804768404552,20,5,13.054614885279374,0.6677299954308051,0.9842105263157894,0.3096601155860167,3.5295506402867964,21,0.5795384615384613,40,3.760292834258957
50,1,0.5349948609694939,176.27544470411607,38.893963213119925,2.000000000000139,1.0,0.8352712170701787,50,1,7.569585187404751,1.555321692448003,0.9240816326530613,0.018749736869973648,3.4041131625279633,0,0.6168743286788403,49,1.6701768548176201
50,2,0.7267657537333369,175.89737746383858,38.229928487636165,4.00000000000021,1.0,0.8402502938853385,50,2,7.8291459335529705,1.2035102377650055,0.8857142857142857,0.010808121910691158,3.6000336262540817,4,0.5273937784522005,53,1.7016040459189332
50,2,0.8089366196043493,132.4668866648764,28.367988507474795,2.000000000000087,1.0,0.7987918034133966,50,2,8.884837494899921,1.000480967869889,0.8873469387755102,0.009423233286171121,3.7989568960297917,9,0.622593756547245,58,1.9027016810906288
50,2,0.9844457909435966,111.53197208001514,20.681270173494813,4.000000000000094,1.0,0.6363467923837193,50,2,8.135025604317185,0.9300507271577534,0.9302040816326531,0.020498877564144223,3.773911870675767,6,0.5968917590902709,55,1.5084702552419784
20,5,1.2649793292066296,88.9031751850466,28.830042853164915,12.495381980395933,1.0,0.5307961378730625,20,5,8.27382528829008,0.7356279935699553,0.95,0.09192026588133453,3.262991518240595,13,0.5202429149797572,32,2.6830845706523627
50,1,0.3654238781003961,134.70886673434836,30.080312410294543,3.0000000000000404,1.0,0.8815744321700256,50,1,6.392184702499163,1.0744046618531202,0.8861224489795919,0.010966364048250646,3.6108082993633097,0,0.5635884063784977,49,1.427366419870956
20,2,1.1148177167069702,42.35179708605794,12.831222320173035,4.000000000000023,1.0,0.6805868925150863,20,2,4.378444818655049,0.8181333622916052,0.8921052631578947,0.06381066538676716,2.8797276274391503,2,0.5409385113268608,21,1.3265269185771376
20,1,0.3960628854651861,64.96884915785755,20.493758602281456,5.101846750194207,1.0,0.6649853290289712,20,1,8.361580191185986,1.1527856851533265,0.8894736842105264,0.05305767572159676,2.789573016341195,4,0.49992867332382285,23,2.637574902326235
50,3,1.2437306464555404,279.7934244230243,57.67198607402984,5.000000000000137,1.0,0.5899109428934737,50,3,16.179143235724972,0.8060552615383603,0.9653061224489796,0.036686668206089484,3.9813794953588237,24,0.6375716117999144,73,3.334900830155753
50,3,1.0352135903448887,161.91943892554934,32.428832025675845,2.9992910387956244,1.0,0.5471147827814344,50,3,12.132322403895836,0.7628309052319427,0.9730612244897958,0.08250712449035383,3.8919616828814236,15,0.6882093381221137,64,2.429832069132752
50,3,0.9596966424499911,172.97351681802365,35.982912870017245,2.000000000000128,1.0,0.6969905107308096,50,3,7.48267881161188,1.040839056908047,0.8665306122448979,0.007548434434523339,3.719132992001717,5,0.5802512788297585,54,1.5565884573869
20,3,1.0141650157724773,46.953360173710564,15.180797555855145,4.000000000000007,1.0,0.585807651795551,20,3,4.582307221335511,0.713928008206165,0.9184210526315789,0.07180186984667085,3.094277965818989,5,0.5505300353356888,24,1.4815356772863348
20,1,0.21061908182084493,64.97931086894782,21.802504833721194,7.100872712559411,1.0,0.5253977484086442,20,1,7.719662717257803,1.2409196179871924,0.8973684210526315,0.0694095483810227,2.8445486011313887,4,0.5762975778546715,23,2.5901780344694485
20,3,0.7593295925974882,92.86292368380515,29.3857245698792,13.000000000000018,1.0,0.5166651612182783,20,3,6.602472011616996,0.6645275099635698,0.9447368421052632,0.13618233137382568,3.134099888611806,8,0.6655612244897957,27,2.0892991122521507
50,3,0.5824347159352425,248.4369248389672,53.295030266932514,8.000000000000206,1.0,0.5223398166954102,50,3,12.28791976468412,0.8734619039171321,0.94,0.0182377802790195,3.8492343041712576,16,0.6087376928728874,65,2.6360214215377376
50,2,0.4723755852560128,171.0170782744685,36.42907423929099,4.000000000000287,1.0,0.5115234797054922,50,2,9.452052379910755,0.9038618735695896,0.8995918367346938,0.011384991070616024,3.9188983477489034,12,0.6174860956618466,61,2.0134218250929017
20,3,0.8449064079838605,92.82496977209762,31.15953336419575,13.000000000000023,1.0,0.5336918354478262,20,3,7.916409200159118,0.681766109853174,0.9578947368421051,0.18066947946555348,3.1649999721831934,11,0.5729219143576822,30,2.6573842922072415
20,3,1.3515911232584341,79.11660139080257,26.317136808790295,7.9675777940724455,1.0,0.5660792449550351,20,3,11.930015909009096,0.7158057286991124,0.9710526315789474,0.16642180646941052,3.2495026926917685,14,0.5740000000000003,33,3.9683689047458994
50,2,0.784849341115424,201.70447607558367,41.2574544723303,4.000000000000278,1.0,0.6183150009507126,50,2,7.756559627492585,1.0649837545233372,0.9248979591836735,0.014890064864071559,3.835732905049829,8,0.6248533981894335,57,1.586558275351672
50,2,0.565014558187226,146.35319600000767,29.342878062178006,4.000000000000188,1.0,0.6136495403879724,50,2,6.280227845191924,0.8937852183587894,0.8922448979591837,0.01094475954935799,3.8228802827021084,4,0.6138031176596204,53,1.2591454433571228
50,1,0.643855549339702,182.054994821095,37.08617327027818,3.0000000000001252,1.0,0.9013594767029252,50,1,9.11068353880622,1.5804631671350637,0.9142857142857143,0.014871914856394133,3.4755876948426736,2,0.625307653826914,51,1.8559248465710756
20,1,1.0408346676428823,48.93554696634456,16.87039768023759,3.0000000000000284,1.0,0.6314244628825947,20,1,12.327596418771764,1.1322475170584232,0.95,0.15224093497756297,3.117700731564611,8,0.6358942065491182,27,4.249905578233035
20,5,0.5985358818916977,99.49432188683609,33.51274744079901,19.999999999999996,1.0,0.52365432572019,20,5,10.063356446184045,0.6272409417217347,0.968421052631579,0.15466186759152017,3.427174511068721,20,0.6098870056497172,39,3.3896479376108357
50,3,0.9482000471168064,221.5392212882453,47.74116708142443,6.000000000000195,1.0,0.7038214409142679,50,3,9.710527611229688,1.0732336282097936,0.8914285714285713,0.010027198126534858,3.728847946674754,11,0.6115182143609184,60,2.092595245395943
20,5,0.8604232058005954,103.62538542560979,33.28649824788374,17.000000000000064,1.0,0.5494290280830849,20,5,10.048624884847692,0.6295863851569575,0.9789473684210526,0.34197239855788053,3.3773198649122427,17,0.6235294117647054,36,3.227814625242012
