trial,train,eval,routing_cost
27,fixed,uniform,1.3353536075609842
27,fixed,hubspoke,1.2621521758737186
27,uniform,fixed,1.502217543763384
27,uniform,uniform,0.6585696721481678
27,uniform,hubspoke,0.4942650319795196
27,hubspoke,fixed,1.5476012861272366
27,hubspoke,uniform,1.0272152545471291
27,hubspoke,hubspoke,0.6315153187899937
28,fixed,fixed,1.274797463147505
28,fixed,uniform,1.157922643596943
28,fixed,hubspoke,1.6859848529135175
28,uniform,fixed,1.5774940010919825
28,uniform,uniform,0.6347115055063243
28,uniform,hubspoke,0.5036321823217772
28,hubspoke,fixed,2.2156281937717015
28,hubspoke,uniform,0.8114609683025855
28,hubspoke,hubspoke,0.5085712410251942
29,fixed,fixed,1.181750392466005
29,fixed,uniform,1.3402853309540859
29,fixed,hubspoke,1.4407983778121736
29,uniform,fixed,1.5421794499521335
29,uniform,uniform,0.7026786438725591
29,uniform,hubspoke,0.5689975673886011
29,hubspoke,fixed,2.0620952852182963
29,hubspoke,uniform,0.9041923343256768
29,hubspoke,hubspoke,0.5702275354567847
