n,trial,method,cost,avg_shortest_path,robustness
30,2,MST,3.6054480613755575,0.7332809439758161,0.906896551724138
30,2,kNN,9.002642083423124,0.9409942702341326,0.9586206896551723
30,2,RGG,19.443822436358495,0.5869919858028521,1.0
30,2,Physarum,5.215361734757384,1.3736964638252915,0.8942528735632183
30,3,MST,3.7403974644826277,0.7916777345269189,0.8770114942528734
30,3,kNN,11.016085798938617,0.6440604691495875,0.9965517241379309
30,3,RGG,18.449771070860738,0.604572534412031,0.9896551724137931
30,3,Physarum,6.602477629082439,1.411927423128513,0.9
30,4,MST,3.874073234489329,0.8955664656922142,0.850574712643678
30,4,kNN,9.347744317061235,0.6191550990210217,1.0
30,4,RGG,16.11416484198763,0.5901716510467854,1.0
30,4,Physarum,8.825046168757217,1.4271390876818517,0.9091954022988505
30,5,MST,3.409058199886937,0.7585033309927854,0.850574712643678
30,5,kNN,8.803469833823746,0.6537361502399802,0.960919540229885
30,5,RGG,20.16509257361014,0.5651575052358517,0.9977011494252873
30,5,Physarum,8.80153203046038,1.3978158308503814,0.9080459770114941
30,6,MST,4.002372770854049,1.0234332481712816,0.8459770114942529
30,6,kNN,9.971254824252563,0.6923950314368932,1.0
30,6,RGG,17.092747702283276,0.6539519623399851,1.0
30,6,Physarum,9.61725436779219,1.575771011732922,0.8977011494252873
30,7,MST,3.9365332724042625,0.9945790551199758,0.8264367816091955
30,7,kNN,10.132426879833272,0.6880723511536956,1.0
30,7,RGG,15.410211143684304,0.6358635237321261,0.9908045977011495
30,7,Physarum,9.340773830163178,1.2046914404544504,0.92183908045977
30,8,MST,4.041371159364734,1.1918502753695468,0.8149425287356321
30,8,kNN,8.964527699817543,0.7785911514029437,1.0
30,8,RGG,16.113553536646197,0.6406804342431461,1.0
30,8,Physarum,8.159945879542304,1.1332376034184197,0.9264367816091954
30,9,MST,3.9609804559545547,0.848929917842925,0.871264367816092
30,9,kNN,10.053716868822129,0.9509247715820304,0.9413793103448277
30,9,RGG,18.57196149142648,0.613256823296855,0.9954022988505746
30,9,Physarum,4.726066406804005,0.9828426620510724,0.8770114942528735
30,10,MST,3.7583104848439954,0.8031567774593396,0.8275862068965516
30,10,kNN,10.878214134681548,0.6213456321402895,0.9862068965517241
30,10,RGG,21.823007614471308,0.5804684388496623,0.9896551724137931
30,10,Physarum,8.865894578218077,1.1450504250197138,0.8954022988505748
30,11,MST,3.391633702053114,0.8625836890832603,0.8551724137931033
30,11,kNN,8.07035006937073,0.6334611452950913,0.9850574712643678
30,11,RGG,24.06534337523791,0.5111735580061262,1.0
30,11,Physarum,8.33434475579491,1.3739528517063524,0.9275862068965517
30,12,MST,3.7472983376350553,0.8281246622066999,0.8770114942528735
30,12,kNN,9.165620034063897,0.8590606672228389,0.9482758620689654
30,12,RGG,16.878398727330644,0.5256295299099121,0.9988505747126436
30,12,Physarum,8.840409033956425,1.3545445862589207,0.932183908045977
30,13,MST,3.544457829324616,0.9208584603232263,0.82183908045977
30,13,kNN,8.993395052315002,0.7491275345486104,0.9551724137931035
30,13,RGG,19.504393456128714,0.6161701988263193,0.9931034482758619
30,13,Physarum,4.923013325549497,1.2097273138466058,0.8275862068965516
30,14,MST,3.9381126733190914,0.8051818625196836,0.8655172413793103
30,14,kNN,10.284217480749508,0.5963989042637363,1.0
30,14,RGG,21.956051969529987,0.5083526813426382,0.9977011494252873
30,14,Physarum,9.797576755351091,1.3934143149011966,0.9045977011494253
30,15,MST,3.6306076834189778,0.9136823509170656,0.854022988505747
30,15,kNN,9.017416680687848,0.8797768962322196,0.9344827586206896
30,15,RGG,16.53866745287867,0.5592373636749334,1.0
30,15,Physarum,7.54526405915615,1.4559926475782765,0.8999999999999999
30,16,MST,3.841390035920497,0.8522688018075918,0.8482758620689653
30,16,kNN,9.551230079166881,0.7571403243615497,1.0
