trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
4,10,Physarum-k10,50,20.28340956522858,0.71398357512742,0.9926530612244899,0.23647048945209356,4.341821999062618,46,0.6485458612975392,95,4.115337989164431
4,10,Union-k10,50,33.627064121541416,0.7329337328533378,0.9975510204081632,0.2895913261214305,4.420948538879564,66,0.5420556023588881,115,6.822656417719882
5,0,MST,50,4.7301767511088,0.8555875163206825,0.8922448979591837,0.010885950376500657,3.7440500433458013,0,0.5745933703932466,49,1.0
5,0,kNN,50,11.349445168914107,0.7714549406221165,1.0,0.05269494720193389,4.376595024335729,42,0.5491682195493814,91,2.399370206674346
5,1,Physarum-k1,50,11.117702683790663,1.2435058008063296,0.8979591836734694,0.011064968470112279,3.4744257569301826,4,0.5966061392131434,53,2.350377854524054
5,1,Union-k1,50,11.57208838685994,1.2718999996661768,0.903265306122449,0.011579627889135274,3.481047977861994,4,0.6151315343795865,53,2.446438895575589
5,2,Physarum-k2,50,6.052270551716132,0.8100063220805759,0.9048979591836734,0.013018953867141823,3.7986169771094183,5,0.588179652943178,54,1.2795019869600899
5,2,Union-k2,50,6.921002322935453,0.8071658613329796,0.9167346938775509,0.01370365446661989,3.823208044348624,8,0.5858918980687924,57,1.4631593462787837
5,3,Physarum-k3,50,9.55491963017083,0.8749208306852029,0.9016326530612244,0.011730686867510982,3.9046186301406935,14,0.620937534549475,63,2.0199920918242773
5,3,Union-k3,50,9.259390163027955,0.8147430296213891,0.9261224489795917,0.013696795650929966,3.795703667125603,13,0.6173450070989115,62,1.9575146237098777
5,5,Physarum-k5,50,17.816332134489997,0.6534394427856086,0.9820408163265306,0.09783398649744963,4.260870087591685,38,0.6606679441554888,87,3.7665256653070465
5,5,Union-k5,50,14.570889912458885,0.6727239906995006,0.9873469387755103,0.07830899908917874,4.11303098736792,31,0.5164637456378438,80,3.080411299438932
5,10,Physarum-k10,50,17.137724313956433,0.6338664763179079,0.9914285714285714,0.13433666875062233,4.40337502041693,47,0.5925391498881432,96,3.623062142432454
5,10,Union-k10,50,31.542680271877227,0.653939867089003,0.990204081632653,0.10332829201195642,4.479104012437506,68,0.5952993660483683,117,6.668393578418251
6,0,MST,50,4.813625993749848,1.0160996400838573,0.8771428571428569,0.009144468328460964,3.789837931485751,0,0.5485457743219477,49,1.0
6,0,kNN,50,11.520737402237748,0.7108570426086267,1.0,0.057525372492605406,4.431170079240467,44,0.5650361964390529,93,2.393359479360592
6,1,Physarum-k1,50,5.604752950125501,1.2988523753112502,0.8579591836734692,0.0071032808560436474,3.696323806026067,0,0.5575956284153007,49,1.164351563125776
6,1,Union-k1,50,5.586795321428935,1.3354086234452625,0.8526530612244898,0.006901202269760021,3.727221267089728,0,0.5327652969528633,49,1.1606209806667558
6,2,Physarum-k2,50,9.522585235877225,1.0037798212750995,0.9159183673469385,0.012560313413048503,3.913788099095899,12,0.630835368832438,61,1.9782561520653301
6,2,Union-k2,50,7.987098046288222,0.8959597825131705,0.9297959183673467,0.013422759958683703,3.884244852230161,11,0.5663318930281445,60,1.6592685133117742
6,3,Physarum-k3,50,16.884652327425524,0.7247129070644759,0.9779591836734692,0.0773176169882414,4.138695996353663,29,0.7250709219858151,78,3.5076784838184456
6,3,Union-k3,50,12.917870711872755,0.8145175461294624,0.9853061224489795,0.07398810988526025,3.829030519253717,20,0.4934267322983723,69,2.683604984817203
6,5,Physarum-k5,50,14.407616959855797,0.753122061620341,0.9722448979591836,0.031007116357898268,4.1693659212646805,29,0.7069467028003615,78,2.9930902356275846
6,5,Union-k5,50,12.77130812742462,0.8349246195977185,0.9759183673469386,0.028629376781974126,4.059590779299774,26,0.5600086219284379,75,2.6531575456853647
6,10,Physarum-k10,50,21.180470084405936,0.6357225899742227,0.993469387755102,0.1577570173414112,4.51922196992994,58,0.6637551020408166,107,4.400107135848792
6,10,Union-k10,50,31.764019767233233,0.658060267105025,0.9951020408163265,0.18658976696825302,4.51312645577956,70,0.4613527769159167,119,6.598771863139463
7,0,MST,50,5.140322695501482,1.0606243182418233,0.866530612244898,0.007932247938940581,3.766968730835245,0,0.5484379744574439,49,1.0
7,0,kNN,50,13.079271663311689,0.8175029073764082,0.96,0.023788481470644152,4.491226484601999,51,0.6879155590304926,100,2.5444456385506546
7,1,Physarum-k1,50,7.350116452126576,1.3827701590888977,0.8779591836734693,0.008904085409575789,3.685365219689096,0,0.5814957594448729,49,1.4298939750531579
7,1,Union-k1,50,7.480506567375846,1.3752357314771761,0.8942857142857144,0.010874586517349452,3.6647594682986058,0,0.60710843373494,49,1.4552601092383481
7,2,Physarum-k2,50,9.147344938598524,1.0189218978888204,0.9146938775510204,0.014311473142310552,3.764397507261796,7,0.6529774614472124,56,1.7795273722024807
7,2,Union-k2,50,12.543868113290998,0.7759048898719578,0.9828571428571429,0.0448887453123845,3.9048423211822545,20,0.4776245987497889,69,2.44028806290093
