trial,mu,n,iteration,n_surviving_edges,conductivity_entropy
8,0.5,50,50,207,5.195427573257842
8,0.5,50,100,180,5.053158532463567
8,0.5,50,150,183,5.068586208372623
8,0.5,50,200,183,5.068591342593669
8,0.5,50,300,183,5.06859178448058
8,0.5,50,500,183,5.0685917871177715
8,1.0,50,10,1225,7.09169262248777
8,1.0,50,25,791,6.659999413750551
8,1.0,50,50,8,1.9549647888076496
8,1.0,50,100,9,2.0693129808255435
8,1.0,50,150,9,2.0722742928767257
8,1.0,50,200,9,2.068452721202237
8,1.0,50,300,10,2.161848492327391
8,1.0,50,500,11,2.2785165222753188
8,2.0,50,10,1225,7.0919010637747775
8,2.0,50,25,741,6.60245643747274
8,2.0,50,50,1,-1.110223024625156e-15
8,2.0,50,100,6,1.2213410674897824
8,2.0,50,150,6,1.7917083975419734
8,2.0,50,200,6,1.7917594675773856
8,2.0,50,300,6,1.791759469228049
8,2.0,50,500,6,1.7917594692280492
9,0.5,50,10,1225,7.090706125960912
9,0.5,50,25,1185,7.012559902786629
9,0.5,50,50,112,4.650214313123294
9,0.5,50,100,108,4.615669932573718
9,0.5,50,150,109,4.6227376142128564
9,0.5,50,200,109,4.622725524346648
9,0.5,50,300,109,4.622724528109473
9,0.5,50,500,109,4.622724522177942
9,1.0,50,10,1225,7.092356194109211
9,1.0,50,25,811,6.688680509434201
9,1.0,50,50,9,2.1344793605619286
9,1.0,50,100,9,2.145715062863822
9,1.0,50,150,10,2.248407502308372
9,1.0,50,200,10,2.24426192474814
9,1.0,50,300,15,2.6372177669877463
9,1.0,50,500,14,2.5652296432493515
9,2.0,50,10,1225,7.092443420686979
9,2.0,50,25,779,6.652684994473766
9,2.0,50,50,0,-0.0
9,2.0,50,100,4,1.1203581551177346
9,2.0,50,150,5,1.609422501432117
9,2.0,50,200,5,1.6094379119250468
9,2.0,50,300,5,1.6094379124340952
9,2.0,50,500,5,1.6094379124340952
10,0.5,50,10,1225,7.090102146230134
10,0.5,50,25,1187,7.014125097316321
10,0.5,50,50,208,5.2066718321066014
10,0.5,50,100,193,5.126086062496883
10,0.5,50,150,193,5.125889764787521
