trial,lambda,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
16,0.0,20,6.8368567443685055,1.153061863987895,0.8605263157894736,0.041548177357485595,2.7641737904395662,3,0.42309582309582305,22,2.2381229800978235
16,0.1,20,9.339413731164989,1.0672269661601022,0.9315789473684211,0.08069559391589079,3.01192394585391,7,0.5891650099403574,26,3.05736353326096
16,0.25,20,6.944137376618871,0.8902361128364558,0.9736842105263157,0.1784911665648069,3.049282033839245,6,0.4094036697247707,25,2.2732425178235105
16,0.5,20,7.30498261414094,0.6445531638409985,0.9973684210526315,0.3208296298880937,3.3109402734311426,12,0.43743455497382233,31,2.391369319152532
16,0.75,20,7.665243022772837,0.5961268543441712,1.0,0.3198539679655634,3.427273794638217,16,0.52909604519774,35,2.5093046700786186
16,0.9,20,7.853598654209587,0.5791945393685719,1.0,0.3638124581683907,3.429198406498683,16,0.4807462686567163,35,2.5709650328610723
16,1.0,20,6.588122992061967,0.5910641291793838,1.0,0.36320814820882075,3.3155657334342443,12,0.36797468354430385,31,2.1566971512735216
17,0.0,20,6.946318552918718,0.7712577642030988,0.9052631578947368,0.06262035164322206,2.775748466882909,5,0.5656626506024096,24,2.602695492349522
17,0.1,20,6.464675035915418,0.7800486434326472,0.9342105263157894,0.07420248230084499,2.8800796906544477,5,0.5707381370826012,24,2.4222299117583277
17,0.25,20,7.090008889323179,0.669079213182863,0.9868421052631579,0.20251183804281409,3.1140429154600207,8,0.46525000000000016,27,2.6565343982397414
17,0.5,20,7.169941815449129,0.6187209083340599,0.9921052631578947,0.2216591724017337,3.211128994118551,12,0.5005025125628142,31,2.686484229208968
17,0.75,20,6.6579158259667945,0.5237287886249259,1.0,0.40520872036374456,3.254952618445131,13,0.3938692098092642,32,2.494634730134164
17,0.9,20,6.969684209828047,0.5095003942954152,1.0,0.39111603315374693,3.3226832547981826,15,0.4041114058355437,34,2.611450301022692
17,1.0,20,6.270992104986644,0.5151677816280171,0.9973684210526315,0.36074902948375714,3.2126984662774363,12,0.3713740458015269,31,2.3496594289287502
18,0.0,20,8.087803118314895,1.1168265669372246,0.9105263157894736,0.07922209346214153,2.7066620293542183,4,0.5230050933786077,23,2.7656314186422697
18,0.1,20,9.013452298953748,0.988064640494516,0.9421052631578947,0.09502241995680084,3.0579176525485954,8,0.5291044776119402,27,3.0821579734020084
18,0.25,20,7.756405798630419,0.7790956138015289,0.9947368421052631,0.20489418142621868,3.139076709761452,9,0.43181818181818166,28,2.652309812519372
18,0.5,20,7.371091343648937,0.7053604485058829,0.9973684210526315,0.2129779457662459,3.210516224541,11,0.36498771498771476,30,2.5205511943674708
18,0.75,20,6.655192886377664,0.6581573069165233,1.0,0.292430962049277,3.227737614544606,11,0.3941975308641972,30,2.2757490846940245
18,0.9,20,6.58727312916825,0.641124927619305,1.0,0.28666515795081104,3.1921421010789937,10,0.3940963855421682,29,2.252523863736365
18,1.0,20,6.57174158465358,0.635583463423695,1.0,0.2846313868940878,3.19162631202925,10,0.3792682926829265,29,2.247212838373675
19,0.0,20,9.360431563879258,0.9445301631371726,0.9078947368421053,0.05735162471490764,2.940200117473506,7,0.5528318584070795,26,3.3160694824188273
19,0.1,20,6.587777425479657,0.8474325287499662,0.9578947368421051,0.11300556012971649,3.112673100818691,8,0.5506993006993006,27,2.3338162913235685
19,0.25,20,6.378416524356486,0.6931072979984838,0.9657894736842104,0.11851942888922881,3.2186099582489494,10,0.4986175115207372,29,2.259647136804529
19,0.5,20,4.815492745384244,0.7488399458522856,0.955263157894737,0.09269211044225126,3.051792420843103,6,0.42254545454545456,25,1.705958579666181
19,0.75,20,6.536666600247397,0.5696553730326114,1.0,0.3385440590701703,3.243660154859547,12,0.39626506024096386,31,2.3157095356021795
19,0.9,20,5.580194190208047,0.5727628314029432,1.0,0.2685814749222443,3.1847613783577566,10,0.3845707656612529,29,1.9768652261211528
19,1.0,20,6.232891289787955,0.5691790493373617,1.0,0.28525556854288897,3.2558426787073973,12,0.4140586797066015,31,2.208092698744565
20,0.0,20,6.982390635262579,1.1404218436489866,0.8973684210526317,0.0642429235088094,2.7417611615554778,3,0.5093650793650795,22,2.0911207883010894
20,0.1,20,7.8485395321262095,1.1462317339345305,0.9157894736842106,0.07367406040413782,2.8517642758216897,4,0.5983168316831686,23,2.3505193322393976
20,0.25,20,7.1965675531937165,0.8522661157481366,0.9973684210526315,0.1842477862493586,3.0379895064780906,6,0.4286516853932585,25,2.1552635481172215
20,0.5,20,7.229216890408384,0.731545985536242,0.9973684210526315,0.27045500948692697,3.127591621963026,8,0.36760563380281686,27,2.165041532670112
20,0.75,20,8.211723555981273,0.6969648305869408,1.0,0.3563811296436741,3.2818294017361187,12,0.4218670076726343,31,2.4592874751196767
20,0.9,20,7.222086128841507,0.7039669515558024,1.0,0.2887101462863896,3.209058608156727,10,0.37584541062801935,29,2.1629059770233665
20,1.0,20,7.417431034045132,0.6867154986648094,1.0,0.3752525459559421,3.241922164558944,11,0.4036764705882352,30,2.221408832778392
21,0.0,20,8.006334559577232,0.8649694453707955,0.8684210526315788,0.045529478559299966,2.7385325171617425,5,0.5775320970042794,24,2.7756900402862676
21,0.1,20,8.032263349148822,0.8110098454128949,0.9026315789473683,0.04920220071457757,2.9691860865446924,7,0.5661832061068703,26,2.784679207855396
21,0.25,20,7.819071201425715,0.8269232045920099,0.9736842105263157,0.10997183914068295,3.0662378702106032,9,0.5242009132420091,28,2.710768316835434
21,0.5,20,8.060649914969801,0.617568791718964,0.9973684210526315,0.40161222387816153,3.2980676965735665,14,0.3635638297872339,33,2.794520453863904
21,0.75,20,7.449753167614901,0.5640753919237531,1.0,0.4926085082278241,3.2893506581296124,14,0.424185463659148,33,2.5827306510948067
21,0.9,20,5.7867946749630494,0.5820090622341568,0.9973684210526315,0.3538335038472155,3.135227893134085,9,0.34518348623853234,28,2.0062049899304615
21,1.0,20,5.244351700237942,0.5881012072434403,0.9973684210526315,0.2936585318167456,3.0477018812083614,7,0.3426565874730023,26,1.8181472025417666
22,0.0,20,6.463509473750662,0.8599638616217098,0.8921052631578947,0.059953178715163355,2.7238725152124275,4,0.485258358662614,23,2.501430419640636
22,0.1,20,6.423056681984916,0.8655966439212562,0.8947368421052632,0.058592230752932135,2.728536859149948,4,0.45474777448071224,23,2.4857748621926006
22,0.25,20,6.214547048071393,0.7138081295392659,0.9552631578947368,0.08794061225924785,3.04054123385904,8,0.4393457943925232,27,2.405079948202359
