trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
9,2.0,fixed,50,5.858279105693898,1.121229303461224,0.9008163265306122,0.012272781047105628,3.6488541131048686,0,0.5741087646350802,49,1.1340461171127099
9,2.0,uniform,50,5.227154927872041,1.0638881581053479,0.8628571428571428,0.007747079638322291,3.7459566096951713,0,0.5573502466525719,49,1.0118730505240614
10,0.5,fixed,50,116.40348416258861,0.8913890670792499,1.0,3.00000000000006,5.164583809665386,145,0.9347235693501454,194,24.64844706235306
10,0.5,uniform,50,8.105655952203117,0.6788557508421175,0.9812244897959184,0.05178518711941665,4.167800929166995,24,0.5533237150586114,73,1.716373294844532
10,0.75,fixed,50,10.213344111696246,1.541995906842329,0.8934693877551021,0.009268590872754195,3.665773870865266,1,0.7109143827310209,50,2.162676430845607
10,0.75,uniform,50,4.7225483969892,1.2081088478106068,0.8375510204081631,0.0062324319993269685,3.7571640626756015,0,0.5023502653525398,49,1.0
10,1.0,fixed,50,11.644170871130727,1.3259369592347043,0.9257142857142857,0.020848470348490876,3.421564316184384,5,0.5622693920335429,54,2.4656541113595187
10,1.0,uniform,50,8.184248202347204,0.6161456650852559,0.9983673469387756,0.10636443637142079,4.040965871810083,18,0.41235250737463147,67,1.733015210085505
10,1.25,fixed,50,5.379874905956876,1.037325491807558,0.9069387755102041,0.01347777472916349,3.6438920595150566,0,0.5763118644067795,49,1.1391889407394418
10,1.25,uniform,50,6.006314550450129,0.6468692649540454,0.9922448979591837,0.051547861323985845,3.890448308766775,7,0.4753278688524589,56,1.2718375854611415
10,1.5,fixed,50,5.294481715879762,0.9649908399218382,0.9126530612244897,0.015287199199214398,3.6463812605375487,0,0.5905899211846195,49,1.1211069259248228
10,1.5,uniform,50,4.964689119973944,0.7560708907765528,0.9755102040816327,0.022727014621996375,3.7726335453661877,1,0.4911344387450791,50,1.0512733174188573
10,2.0,fixed,50,5.150506710937589,0.972964200059872,0.8991836734693878,0.012125488281078657,3.681806599773767,0,0.5845764002175096,49,1.090620207136729
10,2.0,uniform,50,4.790045429489263,1.2105168256542982,0.8440816326530611,0.006523420486806346,3.753838359836256,0,0.49147251408557935,49,1.0142925020192688
11,0.5,fixed,50,116.82508496752111,0.8879361759593631,1.0,2.00000000000007,5.212592825624023,165,0.9144015825914935,214,25.277441113844265
11,0.5,uniform,50,8.014781970612994,0.7702366028075427,0.9493877551020408,0.029761925587303572,4.212134168554804,27,0.6602154046997393,76,1.7341582020573252
11,0.75,fixed,50,9.16655719303143,1.2799357615255829,0.913061224489796,0.011911429105614628,3.7183471678835667,0,0.725683366733467,49,1.983367782081692
11,0.75,uniform,50,4.621713267627271,1.0515438655367397,0.8583673469387755,0.007391898866099262,3.7466003442852567,0,0.5374520571090646,49,1.0
11,1.0,fixed,50,11.845629031102451,1.121503949885149,0.9269387755102041,0.01446719925676487,3.460069902229115,6,0.586511388495689,55,2.5630384978823764
11,1.0,uniform,50,8.167290219785244,0.6526257074064579,0.9918367346938776,0.051902502391792074,4.030829895644645,18,0.4183027763226823,67,1.7671564086402587
11,1.25,fixed,50,5.32855253797559,1.1469143665895103,0.8906122448979593,0.010394737547334883,3.592105616401879,0,0.5491576330183991,49,1.152938797674742
11,1.25,uniform,50,5.738979408365307,0.6873022654035388,0.9881632653061224,0.04773428101751498,3.822746089016583,5,0.48394303797468363,54,1.2417428507657349
11,1.5,fixed,50,5.050467527421818,1.0112221459197237,0.9044897959183674,0.013133390476267636,3.668611849969808,0,0.5520485617412225,49,1.09276954994109
11,1.5,uniform,50,5.16908952870492,0.7716977297888503,0.9812244897959184,0.02802681213240814,3.7655228478695273,2,0.5149785463528798,51,1.118435789799367
11,2.0,fixed,50,4.9919724832518275,0.882988165196294,0.9069387755102041,0.012313231867735351,3.7014219623510827,0,0.6045877475817594,49,1.0801129784960983
11,2.0,uniform,50,4.709054306243412,1.0822054193534287,0.8697959183673469,0.008295903570822145,3.744305281232512,0,0.5334677489744262,49,1.0188979786409338
12,0.5,fixed,50,158.26000154492942,0.9714940471517184,1.0,4.000000000000048,5.406881920058675,198,0.9321063394683029,247,31.630381620674054
12,0.5,uniform,50,6.894453585187378,1.003637362579341,0.9167346938775509,0.013979660866909986,4.07587648373809,17,0.6171629894882753,66,1.3779489184675051
12,0.75,fixed,50,7.975606690798385,1.4338743609020819,0.8942857142857141,0.010715591715414318,3.6768251526741653,2,0.637577715877437,51,1.5940318515334737
12,0.75,uniform,50,5.003417392899506,1.0405605270553815,0.8938775510204081,0.011822383287643791,3.7664075254495644,0,0.5449206676282714,49,1.0
12,1.0,fixed,50,12.423031429048947,1.3399014299266077,0.9351020408163265,0.02380627080486277,3.4563948005659433,5,0.5981124321150739,54,2.4829092705075597
12,1.0,uniform,50,9.072526617723728,0.6640770092559404,0.9951020408163265,0.08906842206918633,4.064679602792414,19,0.4070152671755729,68,1.813265995077447
12,1.25,fixed,50,5.884636777308854,1.56400285715992,0.8571428571428571,0.007497620090101639,3.5967104505059764,0,0.5248272408612917,49,1.1761235002420372
12,1.25,uniform,50,6.340036591050411,0.7348169013804863,0.9857142857142859,0.050344934100731466,3.836835578567183,5,0.49910778349711404,54,1.2671412543050555
12,1.5,fixed,50,5.591149505402442,1.063342324616362,0.9191836734693877,0.01931486684965023,3.676056298973242,0,0.5800957781978577,49,1.1174661369121441
12,1.5,uniform,50,5.902700224856383,0.7451588109800069,0.983265306122449,0.04727952558685058,3.8318898705447437,4,0.41012812690665035,53,1.1797337222421371
12,2.0,fixed,50,5.372181893477437,1.0189814731450597,0.9077551020408162,0.014575012884671423,3.729570372406917,0,0.58472495657209,49,1.0737025260177686
12,2.0,uniform,50,5.10461794909672,1.0017880490956188,0.8991836734693878,0.012362931211084541,3.761874037485966,0,0.5848287819679234,49,1.0202262870055236
13,0.5,fixed,50,96.75262364252929,0.9335714318655444,1.0,2.0000000000000373,4.9898339691432145,120,0.937713214620431,169,18.79654131146774
13,0.5,uniform,50,8.232275444954796,0.8420889580850334,0.9812244897959184,0.03352270066948056,4.158151242206003,21,0.5543895789154802,70,1.5993189606948954
13,0.75,fixed,50,9.78653409109716,1.2790498686177056,0.930204081632653,0.017552430682469405,3.699232129454599,0,0.7599967642776246,49,1.901271360030959
13,0.75,uniform,50,5.14736312597577,0.9707344563259376,0.8914285714285713,0.011811716502695807,3.7916898557137473,0,0.5827068594278679,49,1.0
13,1.0,fixed,50,12.009558996526161,1.484551389981882,0.9171428571428573,0.014516252181989785,3.4805296114015816,5,0.6511500719612717,54,2.3331478084226953
13,1.0,uniform,50,8.595520421246258,0.6965659498021065,0.9938775510204081,0.05632828876500794,4.073205855262798,17,0.42044063647490826,66,1.669888098212778
13,1.25,fixed,50,5.8805285138953645,1.186821500746812,0.8861224489795919,0.009457800635916001,3.6556524611694963,0,0.6313365812327896,49,1.1424351400855581
13,1.25,uniform,50,6.935934808165368,0.740087771921112,0.9951020408163265,0.05177964248810231,3.9212627908886235,8,0.44058960887332144,57,1.3474733836367032
